budget,year,revenue,vote_average,title,runtime
4500000,1982,27092880,7,Fast Times at Ridgemont High,90
4300000,1982,0,6.2,Class of 1984,98
2500000,1982,14400000,5,Halloween III: Season of the Witch,98
4000000,1982,36690067,5.7,Friday the 13th Part III,95
0,1982,0,5,Butterfly,107
39000000,1983,75850624,5.3,Superman III,125
36000000,1983,160000000,5.8,Never Say Never Again,134
27000000,1983,16519460,5.8,Krull,117
32350000,1983,572700000,7.9,Return of the Jedi,135
27500000,1983,187500000,6.2,Octopussy,131
27000000,1983,21500000,7.3,The Right Stuff,193
25000000,1983,65884703,8,Scarface,170
15000000,1983,61399552,7.1,National Lampoon's Vacation,98
12000000,1983,79567667,7,WarGames,114
12000000,1983,30400000,6.2,Yentl,132
10000000,1983,29450919,6.2,Twilight Zone: The Movie,101
10000000,1983,33697647,6.9,The Outsiders,91
10000000,1983,20766616,6.9,The Dead Zone,103
40600000,1983,90400000,7.1,Trading Places,116
0,1983,0,4.3,The Wicked Lady,98
4000000,1983,92921203,6.1,Flashdance,95
7000000,1983,1246141,4.5,Losin' It,100
5952000,1983,2120439,7.1,Videodrome,87
5000000,1983,12232628,5.5,Lone Wolf McQuade,107
0,1983,19294144,7.4,A Christmas Story,94
0,1983,0,0,The Ballad of Gregorio Cortez,104
550000,1983,0,4.6,Love Letters,98
0,1983,0,6,Gabriela,99
4200000,1984,38376497,6.4,Red Dawn,114
58000000,1984,25928721,6.6,The Cotton Club,127
40000000,1984,30925690,6.5,Dune,137
8000000,1984,90815558,6.9,The Karate Kid,126
1800000,1984,25504513,7.2,A Nightmare on Elm Street,91
30000000,1984,0,8.2,Once Upon a Time in America,229
28000000,1984,333000000,7.1,Indiana Jones and the Temple of Doom,118
8000000,1984,27187653,6.9,A Passage to India,163
27000000,1984,20158808,7,The NeverEnding Story,102
25000000,1984,5778353,5,Sheena,117
8200000,1984,80035402,6.4,Footloose,107
25000000,1984,8613462,6.5,The Bounty,132
18000000,1984,87000000,6.4,Star Trek III: The Search for Spock,105
18000000,1984,51973029,7.8,Amadeus,160
18000000,1984,100000000,5.8,Conan the Destroyer,103
15000000,1984,316360478,6.8,Beverly Hills Cop,105
15000000,1984,17080167,5.9,Firestarter,114
11000000,1984,153083102,6.9,Gremlins,106
10000000,1984,8801940,6.4,Body Double,114
9000000,1984,0,5.7,The Ice Pirates,91
8000000,1984,69821334,6.1,Splash,111
7500000,1984,0,5.8,The Hotel New Hampshire,109
6400000,1984,78371200,7.3,The Terminator,108
4500000,1984,146198896,6.5,Police Academy,96
2600000,1984,32980880,5.9,Friday the 13th: The Final Chapter,91
1500000,1984,2300000,6.7,Repo Man,92
1250000,1984,3412497,5.3,C.H.U.D.,88
0,1984,0,6.3,The Toxic Avenger,82
44000000,1985,300400432,6.3,Rambo: First Blood Part II,96
31000000,1985,128499205,7,Out of Africa,161
30000000,1985,152427960,6,A View to a Kill,131
25000000,1985,11137801,6.7,Return to Oz,109
26000000,1985,0,7.1,Silverado,127
25000000,1985,0,6.2,Lifeforce,116
20000000,1985,18432000,6.8,Ladyhawke,121
19000000,1985,381109762,8,Back to the Future,116
18000000,1985,0,6.7,Young Sherlock Holmes,109
3500000,1985,34000000,6.9,Day of the Dead,96
17900000,1985,6948633,5,Red Sonja,89
15000000,1985,146292009,7.7,The Color Purple,154
15000000,1985,0,7.5,Brazil,132
12000000,1985,68706993,7,Witness,113
12305523,1985,36230219,5.9,Mad Max Beyond Thunderdome,107
10000000,1985,57500000,6.4,Commando,90
10000000,1985,25754284,6.4,The Last Dragon,108
0,1985,0,5.3,Invasion U.S.A.,107
0,1985,41410568,7,Pale Rider,115
4000000,1985,14237000,7.3,The Return of the Living Dead,91
0,1985,0,8.2,Anne of Green Gables,199
3000000,1985,29999213,5.7,A Nightmare on Elm Street Part 2: Freddy's Revenge,87
3000000,1985,20966644,6.9,A Room with a View,117
3000000,1985,0,7,Krush Groove,97
2200000,1985,21930418,5.1,Friday the 13th: A New Beginning,92
2000000,1985,390659,6.3,Subway,104
0,1985,0,2.8,Def-Con 4,88
860000,1985,2451545,6.6,My Beautiful Laundrette,97
0,1986,0,5.8,Legal Eagles,116
25000000,1986,38748395,6.6,Little Shop of Horrors,94
37000000,1986,37962774,5.1,Howard the Duck,110
25000000,1986,11000000,7.1,Big Trouble in Little China,99
24000000,1986,133000000,6.9,Star Trek IV: The Voyage Home,119
18000000,1986,41382841,5.9,Peggy Sue Got Married,103
17000000,1986,6735922,5.8,Nine 1/2 Weeks,117
2700000,1986,3500000,5.9,The Wraith,93
18500000,1986,183316455,7.7,Aliens,137
17000000,1986,0,2.9,Shanghai Surprise,97
16000000,1986,5900000,6.8,Highlander,116
15000000,1986,356830601,6.7,Top Gun,110
15000000,1986,0,4.8,The Clan of the Cave Bear,98
25000000,1986,79817939,5.6,The Golden Child,94
12000000,1986,4884663,5.5,Invaders from Mars,100
13800000,1986,52293982,6.7,The Color of Money,119
5000000,1986,328203506,6.3,Crocodile Dundee,97
8000000,1986,52287414,7.8,Stand by Me,89
6000000,1986,138530565,7.5,Platoon,120
5000000,1986,0,5.8,April Fool's Day,89
4700000,1986,8025872,5.9,The Texas Chainsaw Massacre 2,101
4500000,1986,0,7,Salvador,123
3000000,1986,19472057,5.7,Friday the 13th Part VI: Jason Lives,86
0,1986,0,5.9,Witchboard,98
19000000,1986,0,6.7,River's Edge,99
0,1986,0,6.1,She's Gotta Have It,84
40000000,1987,191185897,6.2,The Living Daylights,130
55000000,1987,14375181,4.2,Ishtar,107
27000000,1987,38122105,6.4,The Running Man,101
0,1987,0,6.9,Cry Freedom,157
25000000,1987,76270454,7.6,The Untouchables,119
23000000,1987,43984230,7.4,The Last Emperor,163
23000000,1987,51881013,3.5,Jaws: The Revenge,89
22700000,1987,38119483,6.7,Spaceballs,96
20000000,1987,299965036,6.1,Beverly Hills Cop II,100
18000000,1987,98235548,7.3,Predator,107
17000000,1987,19300000,4.1,Superman IV: The Quest for Peace,90
15000000,1987,43848069,7,Wall Street,126
16000000,1987,0,7,Radio Days,90
0,1987,0,5.8,Three Men and a Baby,102
16000000,1987,30857814,7.6,The Princess Bride,98
14000000,1987,320145693,6.6,Fatal Attraction,119
13000000,1987,123922370,7.1,"Good Morning, Vietnam",121
0,1987,0,6.8,Malone,92
8500000,1987,32222567,6.8,The Lost Boys,97
6500000,1987,54215416,6.8,La Bamba,108
5000000,1987,44793222,6.5,A Nightmare on Elm Street 3: Dream Warriors,96
0,1987,0,5.1,The Barbarians,87
3500000,1987,14000000,5.9,Creepshow 2,92
3600000,1987,5923044,7.6,Evil Dead II,84
0,1987,0,3.8,Teen Wolf Too,95
0,1987,0,7.1,Maurice,134
2000000,1987,0,6.7,The Brave Little Toaster,90
1100000,1987,1400000,6.8,From a Whisper to a Scream,99
1000000,1987,14564027,6.9,Hellraiser,94
0,1987,0,4.9,American Ninja 2: The Confrontation,90
0,1987,0,5.7,Hollywood Shuffle,78
63000000,1988,189015611,5.7,Rambo III,102
0,1988,60328000,6.7,Scrooged,101
30000000,1988,38413606,7.2,Midnight Run,126
28000000,1988,140767956,7.5,Die Hard,131
25000000,1988,412800000,7.6,Rain Man,133
0,1988,0,4.7,"Bright Lights, Big City",107
14000000,1988,34670720,7,Dangerous Liaisons,119
18000000,1988,151668774,6.9,Big,104
20000000,1988,13854000,5.3,My Stepmother is an Alien,108
15000000,1988,216614388,5.7,Twins,107
15000000,1988,73326666,7.1,Beetlejuice,92
0,1988,239606210,5.5,Crocodile Dundee II,110
